geoid,cr_geoid,name,original_id,pop100,hu100,state_place_fips
110010077082016,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,165,70,1150000
110010077082017,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,124,67,1150000
110010077082018,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010077082019,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,118,65,1150000
110010077082020,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,70,45,1150000
110010096031000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,1201,573,1150000
110010096031001,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,403,183,1150000
110010096031002,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,96,42,1150000
110010096031003,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,77,24,1150000
110010096031004,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,83,27,1150000
110010096032000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096032001,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,33,17,1150000
110010096032002,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,207,73,1150000
110010096032003,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,302,138,1150000
110010096032004,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,133,67,1150000
110010096033000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,261,153,1150000
110010096033001,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,105,53,1150000
110010096033002,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,67,22,1150000
110010096033003,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,348,163,1150000
110010096033004,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,427,199,1150000
110010096033005,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,228,158,1150000
110010096033006,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096041000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096041003,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096041004,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,153,80,1150000
110010096041005,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,94,54,1150000
110010096041006,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,86,54,1150000
110010096041007,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,113,58,1150000
110010096041008,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,110,59,1150000
110010096041009,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096041010,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,151,70,1150000
110010096041011,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,205,117,1150000
110010096041012,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,149,78,1150000
110010096041013,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096041014,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096041015,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,139,76,1150000
110010096042000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096042001,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096042002,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096042003,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010096042004,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,24,0,1150000
110010096042005,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,49,15,1150000
110010096042006,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,114,56,1150000
110010096042007,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,100,40,1150000
110010096042008,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,176,72,1150000
110010096042009,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,56,26,1150000
110010096042010,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,63,39,1150000
110010096042011,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,116,68,1150000
110010096042012,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,98,43,1150000
110010099012000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,16,1,1150000
110010099012001,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010099012002,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010099021000,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010099021001,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,28,7,1150000
110010099021002,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,24,15,1150000
110010099021003,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,0,0,1150000
110010099021007,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,20,6,1150000
110010099021008,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,166,65,1150000
110010099021009,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,49,18,1150000
110010099021010,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,46,14,1150000
110010099021011,522,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,85,61,1150000
110010073041000,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,136,75,1150000
110010073041001,518,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,46,18,1150000
