listing_id,latitude,longitude,neighborhood,room_type,price,review_scores_rating,license,minimum_nights,availability_365,availability_pct,reviews_per_month,host_id,host_name,host_listings_count,is_verified_host,is_high_concentration_host,listing_url,hover_description
16710435,38.92825,-77.03209,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,97.97,4.96,No License,31,234,64.1,1.78,66251356,Steve,1,True,False,https://www.airbnb.com/rooms/16710435,Mimi's Place - 1/2 Block to Metro!
16716427,38.92782,-77.05508,"NW-far Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire home/apt,211.12,4.96,Licensed,1,93,25.5,4.88,54138089,Angela,1,True,False,https://www.airbnb.com/rooms/16716427,Studio Apartment with Parking
16736020,38.9205,-77.01207,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",Entire home/apt,766.03,5.0,No License,31,333,91.2,0.02,88939509,Renee,2,True,False,https://www.airbnb.com/rooms/16736020,Modern Row House in Bloomingdale! A true unicorn 🦄
16738134,38.90011,-76.99006,"NE Union Station, Stanton Park, Kingman Park",Entire home/apt,251.5,4.98,Licensed,2,191,52.3,1.71,21706236,Carolina,1,True,False,https://www.airbnb.com/rooms/16738134,Luxurious Carriage House ·Parking· Walk to Capitol
16741874,38.91289,-77.07197,"NW-far Georgetown, Burleith/Hillandale",Entire home/apt,179.75,4.8,Licensed,3,42,11.5,1.53,5850,Elizabeth,2,True,False,https://www.airbnb.com/rooms/16741874,Visit Georgetown from my Suite w/Parking+SmallDogs
16753438,38.94476,-77.08586,"NW-far Friendship Heights, American University Park, Tenleytown",Private room,114.12,4.93,Licensed,1,45,12.3,3.21,71110500,Judy Martini,4,True,False,https://www.airbnb.com/rooms/16753438,Private Bathroom in Master room/Metro 12 min walk!
16755291,38.93179,-77.0224,"NW-mid Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,217.0,4.94,Licensed,1,42,11.5,1.46,91356349,Zee,1,True,False,https://www.airbnb.com/rooms/16755291,Modern Basement on Park
16757351,38.88482,-76.99314,"SE Capitol Hill, Lincoln Park",Private room,99.9,4.82,No License,31,82,22.5,0.25,111207965,Judith,1,True,False,https://www.airbnb.com/rooms/16757351,"Lovely Capitol Hill, Eastern Market Oasis"
16764417,38.89863,-77.00105,"NE Union Station, Stanton Park, Kingman Park",Entire home/apt,212.0,4.64,Licensed,2,255,69.9,1.37,46582948,Anna,2,True,False,https://www.airbnb.com/rooms/16764417,Cozy Capitol Hill Flat 5 Minutes Walk Metro/Shops+
16767868,38.91468,-77.0445,"NW-mid Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,310.9,4.9,No License,31,329,90.1,0.69,111311001,David Jonathan,4,True,False,https://www.airbnb.com/rooms/16767868,"DuPont Duplex 2beds/2baths, stylish, cozy- unit401"
16781108,38.89853,-76.98907,"NE Union Station, Stanton Park, Kingman Park",Entire home/apt,323.33,4.98,Licensed,3,246,67.4,0.4,387733,Ed,1,True,False,https://www.airbnb.com/rooms/16781108,Spacious Historic Capitol Hill 2 BR home
16789250,38.91917,-77.01562,"NW-mid Howard University, Le Droit Park, Cardozo/Shaw",Private room,34.26,4.55,No License,31,218,59.7,0.29,315148,John,40,True,True,https://www.airbnb.com/rooms/16789250,Nice small cozy room 15 mins from the shaw metro
16795499,38.88494491577149,-77.00037384033203,"SE Capitol Hill, Lincoln Park",Entire home/apt,238.51,4.88,Licensed,1,155,42.5,5.04,53596345,Robin,2,True,False,https://www.airbnb.com/rooms/16795499,Walk to Capitol & Metro | FREE Parking
16798447,38.91937,-77.01349,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room,34.96,4.17,No License,31,232,63.6,0.11,315148,John,40,True,True,https://www.airbnb.com/rooms/16798447,Nice cozy room right next to Howard University
16808703,38.93701,-77.06482,"NW-far Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire home/apt,183.0,4.9,Exempt,2,97,26.6,6.07,111760278,Carla And Giuseppe,1,True,False,https://www.airbnb.com/rooms/16808703,"Spacious, Stylish, Cozy, Fun Home! Parking, Metro"
16820068,38.86453,-76.97491,"SE Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Private room,165.71,,No License,31,269,73.7,,639308,Samantha,1,True,False,https://www.airbnb.com/rooms/16820068,"Washington DC, The King Room"
16821423,38.90529,-76.98236,"NE Ivy City, Arboretum, Trinidad, Carver Langston",Entire home/apt,73.51,4.87,No License,31,129,35.3,0.92,111914877,Richard And Hannah,1,True,False,https://www.airbnb.com/rooms/16821423,Spacious English Basement near Atlas District
16828326,38.912650786979725,-77.01477102935314,"NE/NW Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room,263.58,,Exempt,31,179,49.0,,63273507,Laila,2,True,False,https://www.airbnb.com/rooms/16828326,Paradise for the City Lovers
16829087,38.94625,-76.98115,"NE North Michigan Park, Michigan Park, University Heights",Entire home/apt,,4.95,Licensed,5,0,0.0,1.14,26206487,Kangsheng,1,True,False,https://www.airbnb.com/rooms/16829087,Private Suite w/Bath + Free Parking
